
# Curve 0 of 1, 25 points
# Curve title: "(0.5*11*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.22917  i
0.83333 1.95833  i
1.25000 1.68750  i
1.66667 1.66667  i
2.08333 1.74583  i
2.50000 1.87500  i
2.91667 2.03274  i
3.33333 2.20833  i
3.75000 2.39583  i
4.16667 2.59167  i
4.58333 2.79356  i
5.00000 3.00000  i
5.41667 3.20994  i
5.83333 3.42262  i
6.25000 3.63750  i
6.66667 3.85417  i
7.08333 4.07230  i
7.50000 4.29167  i
7.91667 4.51206  i
8.33333 4.73333  i
8.75000 4.95536  i
9.16667 5.17803  i
9.58333 5.40127  i
10.00000 5.62500  i

