
# Curve 0 of 1, 25 points
# Curve title: "(0.5*8*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.16667  i
0.83333 1.83333  i
1.25000 1.50000  i
1.66667 1.41667  i
2.08333 1.43333  i
2.50000 1.50000  i
2.91667 1.59524  i
3.33333 1.70833  i
3.75000 1.83333  i
4.16667 1.96667  i
4.58333 2.10606  i
5.00000 2.25000  i
5.41667 2.39744  i
5.83333 2.54762  i
6.25000 2.70000  i
6.66667 2.85417  i
7.08333 3.00980  i
7.50000 3.16667  i
7.91667 3.32456  i
8.33333 3.48333  i
8.75000 3.64286  i
9.16667 3.80303  i
9.58333 3.96377  i
10.00000 4.12500  i

