
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+4.0*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 2.50417  i
0.83333 1.40833  i
1.25000 1.11250  i
1.66667 1.01667  i
2.08333 1.00083  i
2.50000 1.02500  i
2.91667 1.07202  i
3.33333 1.13333  i
3.75000 1.20417  i
4.16667 1.28167  i
4.58333 1.36402  i
5.00000 1.45000  i
5.41667 1.53878  i
5.83333 1.62976  i
6.25000 1.72250  i
6.66667 1.81667  i
7.08333 1.91201  i
7.50000 2.00833  i
7.91667 2.10548  i
8.33333 2.20333  i
8.75000 2.30179  i
9.16667 2.40076  i
9.58333 2.50018  i
10.00000 2.60000  i

