
# Curve 0 of 1, 25 points
# Curve title: "(0.5*12*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.25000  i
0.83333 2.00000  i
1.25000 1.75000  i
1.66667 1.75000  i
2.08333 1.85000  i
2.50000 2.00000  i
2.91667 2.17857  i
3.33333 2.37500  i
3.75000 2.58333  i
4.16667 2.80000  i
4.58333 3.02273  i
5.00000 3.25000  i
5.41667 3.48077  i
5.83333 3.71429  i
6.25000 3.95000  i
6.66667 4.18750  i
7.08333 4.42647  i
7.50000 4.66667  i
7.91667 4.90789  i
8.33333 5.15000  i
8.75000 5.39286  i
9.16667 5.63636  i
9.58333 5.88043  i
10.00000 6.12500  i

