
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+6.5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 4.00417  i
0.83333 2.15833  i
1.25000 1.61250  i
1.66667 1.39167  i
2.08333 1.30083  i
2.50000 1.27500  i
2.91667 1.28631  i
3.33333 1.32083  i
3.75000 1.37083  i
4.16667 1.43167  i
4.58333 1.50038  i
5.00000 1.57500  i
5.41667 1.65417  i
5.83333 1.73690  i
6.25000 1.82250  i
6.66667 1.91042  i
7.08333 2.00025  i
7.50000 2.09167  i
7.91667 2.18443  i
8.33333 2.27833  i
8.75000 2.37321  i
9.16667 2.46894  i
9.58333 2.56540  i
10.00000 2.66250  i

