
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+4.5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 2.80417  i
0.83333 1.55833  i
1.25000 1.21250  i
1.66667 1.09167  i
2.08333 1.06083  i
2.50000 1.07500  i
2.91667 1.11488  i
3.33333 1.17083  i
3.75000 1.23750  i
4.16667 1.31167  i
4.58333 1.39129  i
5.00000 1.47500  i
5.41667 1.56186  i
5.83333 1.65119  i
6.25000 1.74250  i
6.66667 1.83542  i
7.08333 1.92966  i
7.50000 2.02500  i
7.91667 2.12127  i
8.33333 2.21833  i
8.75000 2.31607  i
9.16667 2.41439  i
9.58333 2.51322  i
10.00000 2.61250  i

