
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+6.0*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.70417  i
0.83333 2.00833  i
1.25000 1.51250  i
1.66667 1.31667  i
2.08333 1.24083  i
2.50000 1.22500  i
2.91667 1.24345  i
3.33333 1.28333  i
3.75000 1.33750  i
4.16667 1.40167  i
4.58333 1.47311  i
5.00000 1.55000  i
5.41667 1.63109  i
5.83333 1.71548  i
6.25000 1.80250  i
6.66667 1.89167  i
7.08333 1.98260  i
7.50000 2.07500  i
7.91667 2.16864  i
8.33333 2.26333  i
8.75000 2.35893  i
9.16667 2.45530  i
9.58333 2.55236  i
10.00000 2.65000  i

