
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.10417  i
0.83333 1.70833  i
1.25000 1.31250  i
1.66667 1.16667  i
2.08333 1.12083  i
2.50000 1.12500  i
2.91667 1.15774  i
3.33333 1.20833  i
3.75000 1.27083  i
4.16667 1.34167  i
4.58333 1.41856  i
5.00000 1.50000  i
5.41667 1.58494  i
5.83333 1.67262  i
6.25000 1.76250  i
6.66667 1.85417  i
7.08333 1.94730  i
7.50000 2.04167  i
7.91667 2.13706  i
8.33333 2.23333  i
8.75000 2.33036  i
9.16667 2.42803  i
9.58333 2.52627  i
10.00000 2.62500  i

