
# Curve 0 of 1, 25 points
# Curve title: "(0.5*7*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.14583  i
0.83333 1.79167  i
1.25000 1.43750  i
1.66667 1.33333  i
2.08333 1.32917  i
2.50000 1.37500  i
2.91667 1.44940  i
3.33333 1.54167  i
3.75000 1.64583  i
4.16667 1.75833  i
4.58333 1.87689  i
5.00000 2.00000  i
5.41667 2.12660  i
5.83333 2.25595  i
6.25000 2.38750  i
6.66667 2.52083  i
7.08333 2.65564  i
7.50000 2.79167  i
7.91667 2.92873  i
8.33333 3.06667  i
8.75000 3.20536  i
9.16667 3.34470  i
9.58333 3.48460  i
10.00000 3.62500  i

