
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+3.5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 2.20417  i
0.83333 1.25833  i
1.25000 1.01250  i
1.66667 0.94167  i
2.08333 0.94083  i
2.50000 0.97500  i
2.91667 1.02917  i
3.33333 1.09583  i
3.75000 1.17083  i
4.16667 1.25167  i
4.58333 1.33674  i
5.00000 1.42500  i
5.41667 1.51571  i
5.83333 1.60833  i
6.25000 1.70250  i
6.66667 1.79792  i
7.08333 1.89436  i
7.50000 1.99167  i
7.91667 2.08969  i
8.33333 2.18833  i
8.75000 2.28750  i
9.16667 2.38712  i
9.58333 2.48714  i
10.00000 2.58750  i

