
# Curve 0 of 1, 25 points
# Curve title: "(0.5*10*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.20833  i
0.83333 1.91667  i
1.25000 1.62500  i
1.66667 1.58333  i
2.08333 1.64167  i
2.50000 1.75000  i
2.91667 1.88690  i
3.33333 2.04167  i
3.75000 2.20833  i
4.16667 2.38333  i
4.58333 2.56439  i
5.00000 2.75000  i
5.41667 2.93910  i
5.83333 3.13095  i
6.25000 3.32500  i
6.66667 3.52083  i
7.08333 3.71814  i
7.50000 3.91667  i
7.91667 4.11623  i
8.33333 4.31667  i
8.75000 4.51786  i
9.16667 4.71970  i
9.58333 4.92210  i
10.00000 5.12500  i

