
# Curve 0 of 1, 25 points
# Curve title: "(0.5*9*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.18750  i
0.83333 1.87500  i
1.25000 1.56250  i
1.66667 1.50000  i
2.08333 1.53750  i
2.50000 1.62500  i
2.91667 1.74107  i
3.33333 1.87500  i
3.75000 2.02083  i
4.16667 2.17500  i
4.58333 2.33523  i
5.00000 2.50000  i
5.41667 2.66827  i
5.83333 2.83929  i
6.25000 3.01250  i
6.66667 3.18750  i
7.08333 3.36397  i
7.50000 3.54167  i
7.91667 3.72039  i
8.33333 3.90000  i
8.75000 4.08036  i
9.16667 4.26136  i
9.58333 4.44293  i
10.00000 4.62500  i

